Id	Chr	TSS	TSS
ENSG00000228794.4	1	762988	762988
ENSG00000234711.1	1	808672	808672
ENSG00000230368.2	1	812283	812283
ENSG00000269308.1	1	818043	818043
ENSG00000272438.1	1	840214	840214
ENSG00000230699.2	1	846815	846815
ENSG00000223764.2	1	855072	855072
ENSG00000187634.6	1	860260	860260
ENSG00000268179.1	1	865996	865996
ENSG00000188976.6	1	894689	894689
ENSG00000187961.9	1	895967	895967
ENSG00000187583.6	1	901877	901877
ENSG00000187642.5	1	917497	917497
ENSG00000272512.1	1	933431	933431
ENSG00000188290.6	1	935552	935552
ENSG00000231702.2	1	943609	943609
ENSG00000224969.1	1	948573	948573
ENSG00000187608.5	1	948803	948803
ENSG00000188157.9	1	955503	955503
ENSG00000242590.1	1	990413	990413
ENSG00000217801.5	1	995114	995114
ENSG00000273443.1	1	998668	998668
ENSG00000237330.2	1	1009687	1009687
ENSG00000131591.13	1	1051741	1051741
ENSG00000223823.1	1	1072397	1072397
ENSG00000207730.1	1	1102484	1102484
ENSG00000207607.1	1	1103243	1103243
ENSG00000198976.1	1	1104385	1104385
ENSG00000272141.1	1	1104737	1104737
ENSG00000162571.9	1	1109264	1109264
ENSG00000205231.1	1	1114935	1114935
ENSG00000186891.9	1	1142071	1142071
ENSG00000186827.6	1	1149512	1149512
ENSG00000078808.12	1	1167411	1167411
ENSG00000176022.3	1	1167629	1167629
ENSG00000184163.3	1	1182102	1182102
ENSG00000260179.1	1	1186714	1186714
ENSG00000160087.16	1	1209265	1209265
ENSG00000230415.1	1	1210603	1210603
ENSG00000162572.15	1	1215816	1215816
ENSG00000131584.14	1	1243398	1243398
ENSG00000169972.7	1	1243947	1243947
ENSG00000240731.1	1	1254069	1254069
ENSG00000127054.14	1	1260071	1260071
ENSG00000224051.2	1	1260136	1260136
ENSG00000169962.4	1	1266694	1266694
ENSG00000107404.13	1	1284730	1284730
ENSG00000162576.12	1	1297157	1297157
ENSG00000175756.9	1	1310875	1310875
ENSG00000223663.2	1	1314046	1314046
ENSG00000221978.7	1	1334708	1334708
ENSG00000224870.3	1	1334902	1334902
ENSG00000264293.1	1	1341132	1341132
ENSG00000242485.1	1	1342693	1342693
ENSG00000272455.1	1	1344476	1344476
ENSG00000225905.1	1	1355625	1355625
ENSG00000235098.4	1	1357149	1357149
ENSG00000205116.3	1	1361508	1361508
ENSG00000225285.1	1	1369953	1369953
ENSG00000179403.10	1	1370241	1370241
ENSG00000215915.5	1	1385069	1385069
ENSG00000160072.15	1	1407143	1407143
ENSG00000197785.9	1	1447531	1447531
ENSG00000205090.4	1	1475833	1475833
ENSG00000215791.2	1	1499904	1499904
ENSG00000160075.10	1	1510249	1510249
ENSG00000215014.3	1	1510355	1510355
ENSG00000236684.1	1	1515136	1515136
ENSG00000228594.1	1	1535476	1535476
ENSG00000197530.8	1	1550795	1550795
ENSG00000272106.1	1	1551175	1551175
ENSG00000189409.8	1	1567474	1567474
ENSG00000248333.3	1	1590473	1590473
ENSG00000272004.1	1	1590786	1590786
ENSG00000269227.1	1	1605440	1605440
ENSG00000189339.7	1	1624167	1624167
ENSG00000215914.3	1	1631369	1631369
ENSG00000008128.18	1	1655766	1655766
ENSG00000227775.3	1	1655951	1655951
ENSG00000268575.1	1	1666274	1666274
ENSG00000215790.2	1	1677431	1677431
ENSG00000008130.11	1	1711896	1711896
ENSG00000078369.13	1	1822495	1822495
ENSG00000231050.1	1	1822910	1822910
ENSG00000169885.5	1	1846266	1846266
ENSG00000178821.8	1	1850712	1850712
ENSG00000142609.13	1	1935153	1935153
ENSG00000233542.1	1	1946969	1946969
ENSG00000187730.6	1	1950780	1950780
ENSG00000226969.1	1	1981509	1981509
ENSG00000067606.11	1	1981909	1981909
ENSG00000271806.1	1	2076718	2076718
ENSG00000182873.4	1	2115828	2115828
ENSG00000269554.1	1	2121237	2121237
ENSG00000162585.12	1	2139172	2139172
ENSG00000234396.3	1	2151974	2151974
ENSG00000157933.9	1	2160134	2160134
ENSG00000272161.1	1	2258132	2258132
ENSG00000269753.1	1	2258581	2258581
ENSG00000272420.1	1	2295067	2295067
ENSG00000271921.1	1	2306792	2306792
ENSG00000271847.1	1	2309799	2309799
ENSG00000178642.5	1	2316811	2316811
ENSG00000116151.9	1	2323146	2323146
ENSG00000157916.14	1	2323267	2323267
ENSG00000157911.5	1	2345236	2345236
ENSG00000149527.13	1	2357419	2357419
ENSG00000224387.1	1	2424697	2424697
ENSG00000229393.1	1	2425918	2425918
ENSG00000157881.9	1	2458039	2458039
ENSG00000197921.5	1	2461684	2461684
ENSG00000272449.1	1	2477904	2477904
ENSG00000157873.13	1	2487078	2487078
ENSG00000238164.2	1	2488470	2488470
ENSG00000225931.3	1	2497849	2497849
ENSG00000228037.1	1	2512999	2512999
ENSG00000157870.10	1	2517930	2517930
ENSG00000237058.1	1	2564007	2564007
ENSG00000142606.11	1	2564481	2564481
ENSG00000215912.7	1	2718286	2718286
ENSG00000233234.1	1	2729257	2729257
ENSG00000231630.1	1	2731563	2731563
ENSG00000169717.5	1	2938046	2938046
ENSG00000177133.6	1	2985001	2985001
ENSG00000142611.12	1	2985732	2985732
ENSG00000226286.1	1	3050273	3050273
ENSG00000272235.1	1	3226660	3226660
ENSG00000130762.10	1	3370990	3370990
ENSG00000272088.1	1	3403810	3403810
ENSG00000207776.1	1	3477354	3477354
ENSG00000162591.11	1	3528059	3528059
ENSG00000238260.1	1	3541307	3541307
ENSG00000158109.10	1	3541566	3541566
ENSG00000078900.10	1	3569084	3569084
ENSG00000116213.11	1	3569325	3569325
ENSG00000227589.1	1	3585336	3585336
ENSG00000235131.1	1	3630862	3630862
ENSG00000227372.6	1	3663900	3663900
ENSG00000162592.4	1	3668962	3668962
ENSG00000235169.3	1	3689352	3689352
ENSG00000266075.1	1	3699379	3699379
ENSG00000272153.1	1	3701572	3701572
ENSG00000130764.5	1	3713068	3713068
ENSG00000116198.8	1	3773778	3773778
ENSG00000169598.11	1	3773845	3773845
ENSG00000264428.1	1	3800628	3800628
ENSG00000198912.6	1	3816849	3816849
ENSG00000236423.1	1	3816936	3816936
ENSG00000233304.1	1	4000673	4000673
ENSG00000226374.1	1	4009040	4009040
ENSG00000229280.1	1	4235959	4235959
ENSG00000235054.1	1	4472111	4472111
ENSG00000227169.2	1	4612205	4612205
ENSG00000232596.1	1	4631608	4631608
ENSG00000196581.6	1	4714792	4714792
ENSG00000231510.1	1	5150959	5150959
ENSG00000260972.1	1	5553038	5553038
ENSG00000264341.1	1	5624131	5624131
ENSG00000236948.1	1	5728355	5728355
ENSG00000216045.2	1	5876019	5876019
ENSG00000264101.1	1	5922801	5922801
ENSG00000266687.1	1	5953984	5953984
ENSG00000131697.13	1	6046387	6046387
ENSG00000069424.10	1	6051526	6051526
ENSG00000116254.13	1	6240183	6240183
ENSG00000226944.1	1	6265840	6265840
ENSG00000158286.8	1	6266189	6266189
ENSG00000116251.5	1	6268799	6268799
ENSG00000116237.11	1	6296032	6296032
ENSG00000225077.2	1	6296300	6296300
ENSG00000173673.7	1	6304252	6304252
ENSG00000158292.6	1	6321035	6321035
ENSG00000271746.1	1	6453615	6453615
ENSG00000097021.15	1	6454451	6454451
ENSG00000069812.7	1	6484730	6484730
ENSG00000187017.10	1	6484848	6484848
ENSG00000265392.1	1	6489956	6489956
ENSG00000231868.1	1	6507066	6507066
ENSG00000215788.5	1	6525690	6525690
ENSG00000171680.16	1	6580121	6580121
ENSG00000253022.1	1	6600914	6600914
ENSG00000229519.2	1	6607965	6607965
ENSG00000162408.10	1	6614595	6614595
ENSG00000173662.15	1	6615241	6615241
ENSG00000204859.7	1	6640061	6640061
ENSG00000116273.5	1	6673745	6673745
ENSG00000162413.12	1	6674667	6674667
ENSG00000041988.11	1	6684926	6684926
ENSG00000007923.11	1	6761984	6761984
ENSG00000228750.1	1	6784697	6784697
ENSG00000239166.1	1	6812779	6812779
ENSG00000237436.1	1	6844903	6844903
ENSG00000171735.14	1	6845384	6845384
ENSG00000227950.1	1	6894678	6894678
ENSG00000237365.1	1	7074339	7074339
ENSG00000207056.1	1	7279420	7279420
ENSG00000237402.1	1	7429003	7429003
ENSG00000237728.1	1	7449814	7449814
ENSG00000225126.1	1	7501614	7501614
ENSG00000270171.1	1	7754904	7754904
ENSG00000270035.1	1	7758932	7758932
ENSG00000269978.1	1	7761030	7761030
ENSG00000049245.8	1	7831329	7831329
ENSG00000269925.1	1	7836443	7836443
ENSG00000049246.10	1	7844380	7844380
ENSG00000236266.1	1	7887402	7887402
ENSG00000049247.9	1	7913572	7913572
ENSG00000049249.4	1	8000926	8000926
ENSG00000270330.1	1	8002432	8002432
ENSG00000116288.8	1	8014351	8014351
ENSG00000200344.1	1	8043043	8043043
ENSG00000116285.8	1	8086368	8086368
ENSG00000238290.1	1	8086798	8086798
ENSG00000232848.1	1	8118523	8118523
ENSG00000229305.1	1	8249884	8249884
ENSG00000200975.1	1	8266657	8266657
ENSG00000227634.1	1	8268732	8268732
ENSG00000233645.1	1	8280589	8280589
ENSG00000265414.1	1	8335438	8335438
ENSG00000251977.1	1	8352323	8352323
ENSG00000162426.10	1	8377886	8377886
ENSG00000252254.1	1	8388127	8388127
ENSG00000232912.1	1	8484705	8484705
ENSG00000221083.1	1	8571978	8571978
ENSG00000270282.1	1	8572712	8572712
ENSG00000234619.1	1	8810489	8810489
ENSG00000224315.2	1	8846972	8846972
ENSG00000222511.1	1	8856731	8856731
ENSG00000226545.1	1	8858534	8858534
ENSG00000228423.2	1	8867110	8867110
ENSG00000142599.13	1	8877702	8877702
ENSG00000229716.2	1	8891066	8891066
ENSG00000236269.1	1	8938066	8938066
ENSG00000230679.1	1	8938894	8938894
ENSG00000074800.9	1	8939308	8939308
ENSG00000201725.1	1	8943592	8943592
ENSG00000238249.1	1	8953468	8953468
ENSG00000232208.2	1	8967803	8967803
ENSG00000232663.2	1	8969801	8969801
ENSG00000131686.10	1	9005926	9005926
ENSG00000265141.1	1	9039933	9039933
ENSG00000197241.3	1	9086404	9086404
ENSG00000252404.1	1	9142755	9142755
ENSG00000142583.13	1	9148537	9148537
ENSG00000180758.10	1	9189229	9189229
ENSG00000207865.1	1	9211836	9211836
ENSG00000234546.2	1	9251452	9251452
ENSG00000228526.2	1	9262678	9262678
ENSG00000049239.8	1	9294834	9294834
ENSG00000252841.1	1	9338450	9338450
ENSG00000171621.9	1	9352939	9352939
ENSG00000252956.1	1	9497837	9497837
ENSG00000235263.1	1	9563530	9563530
ENSG00000171612.6	1	9599541	9599541
ENSG00000231181.1	1	9636485	9636485
ENSG00000188807.8	1	9648932	9648932
ENSG00000171608.11	1	9711790	9711790
ENSG00000179840.5	1	9714644	9714644
ENSG00000233268.3	1	9722684	9722684
ENSG00000231789.2	1	9747613	9747613
ENSG00000271264.1	1	9840880	9840880
ENSG00000171603.12	1	9884584	9884584
ENSG00000223989.1	1	9908376	9908376
ENSG00000178585.10	1	9970394	9970394
ENSG00000228150.1	1	10002981	10002981
ENSG00000162441.7	1	10003465	10003465
ENSG00000173614.9	1	10003486	10003486
ENSG00000202415.1	1	10007376	10007376
ENSG00000265521.1	1	10027439	10027439
ENSG00000241326.1	1	10043199	10043199
ENSG00000162444.11	1	10057264	10057264
ENSG00000225786.2	1	10078592	10078592
ENSG00000130939.14	1	10092890	10092890
ENSG00000224340.1	1	10114839	10114839
ENSG00000233623.2	1	10118729	10118729
ENSG00000201746.1	1	10223326	10223326
ENSG00000054523.12	1	10270863	10270863
ENSG00000264881.1	1	10287776	10287776
ENSG00000199562.1	1	10359024	10359024
ENSG00000264501.1	1	10366523	10366523
ENSG00000265945.1	1	10450059	10450059
ENSG00000142657.16	1	10458649	10458649
ENSG00000271989.1	1	10490734	10490734
ENSG00000241563.2	1	10509776	10509776
ENSG00000203469.2	1	10518612	10518612
ENSG00000160049.7	1	10532583	10532583
ENSG00000142655.8	1	10534944	10534944
ENSG00000243267.2	1	10676893	10676893
ENSG00000272078.1	1	10699298	10699298
ENSG00000130940.10	1	10856707	10856707
ENSG00000225158.2	1	10955818	10955818
ENSG00000175262.10	1	11042094	11042094
ENSG00000215785.2	1	11051854	11051854
ENSG00000264181.1	1	11058320	11058320
ENSG00000207213.1	1	11060002	11060002
ENSG00000120948.11	1	11072414	11072414
ENSG00000271895.1	1	11089716	11089716
ENSG00000009724.12	1	11107290	11107290
ENSG00000116649.5	1	11120081	11120081
ENSG00000226849.1	1	11128528	11128528
ENSG00000230337.1	1	11159732	11159732
ENSG00000171824.9	1	11159938	11159938
ENSG00000225602.1	1	11203955	11203955
ENSG00000253086.1	1	11212407	11212407
ENSG00000271794.1	1	11229670	11229670
ENSG00000171819.4	1	11249398	11249398
ENSG00000207451.1	1	11286311	11286311
ENSG00000238173.1	1	11293020	11293020
ENSG00000198793.8	1	11322564	11322564
ENSG00000120942.9	1	11333263	11333263
ENSG00000238199.1	1	11339408	11339408
ENSG00000224338.2	1	11485878	11485878
ENSG00000204624.6	1	11539223	11539223
ENSG00000235643.1	1	11669588	11669588
ENSG00000116661.9	1	11713586	11713586
ENSG00000132879.9	1	11714914	11714914
ENSG00000116663.6	1	11724181	11724181
ENSG00000116670.10	1	11751707	11751707
ENSG00000162490.6	1	11751786	11751786
ENSG00000177674.11	1	11796141	11796141
ENSG00000215910.3	1	11821844	11821844
ENSG00000177553.6	1	11839676	11839676
ENSG00000177000.6	1	11865351	11865351
ENSG00000011021.17	1	11867188	11867188
ENSG00000242349.1	1	11901074	11901074
ENSG00000175206.6	1	11908402	11908402
ENSG00000120937.8	1	11918988	11918988
ENSG00000224904.1	1	11937827	11937827
ENSG00000199347.1	1	11968209	11968209
ENSG00000201801.1	1	11969984	11969984
ENSG00000116685.11	1	11986485	11986485
ENSG00000083444.12	1	11994262	11994262
ENSG00000116688.12	1	12040238	12040238
ENSG00000270914.1	1	12077365	12077365
ENSG00000116691.6	1	12079523	12079523
ENSG00000202461.1	1	12084181	12084181
ENSG00000243539.2	1	12097071	12097071
ENSG00000120949.10	1	12123434	12123434
ENSG00000201135.1	1	12138041	12138041
ENSG00000227875.2	1	12140604	12140604
ENSG00000028137.12	1	12227060	12227060
ENSG00000263676.1	1	12251770	12251770
ENSG00000225196.2	1	12281166	12281166
ENSG00000252969.1	1	12281328	12281328
ENSG00000048707.9	1	12290124	12290124
ENSG00000239149.1	1	12567300	12567300
ENSG00000229484.1	1	12587766	12587766
ENSG00000221340.1	1	12630100	12630100
ENSG00000162496.4	1	12677737	12677737
ENSG00000272482.1	1	12679250	12679250
ENSG00000204518.2	1	12704566	12704566
ENSG00000226166.2	1	12752925	12752925
ENSG00000188984.7	1	12776118	12776118
ENSG00000238771.1	1	12799693	12799693
ENSG00000157330.5	1	12806163	12806163
ENSG00000116726.4	1	12834984	12834984
ENSG00000116721.9	1	12851546	12851546
ENSG00000228338.1	1	12883022	12883022
ENSG00000204513.5	1	12891264	12891264
ENSG00000231103.2	1	12901210	12901210
ENSG00000179172.7	1	12908578	12908578
ENSG00000120952.4	1	12916941	12916941
ENSG00000243073.3	1	12946025	12946025
ENSG00000187545.5	1	12958101	12958101
ENSG00000204510.1	1	12976450	12976450
ENSG00000207434.1	1	12982374	12982374
ENSG00000234064.1	1	12985990	12985990
ENSG00000250894.1	1	13015755	13015755
ENSG00000204508.3	1	13035543	13035543
ENSG00000239810.2	1	13052998	13052998
ENSG00000270601.1	1	13112679	13112679
ENSG00000232423.3	1	13117751	13117751
ENSG00000250113.1	1	13126086	13126086
ENSG00000204505.3	1	13140456	13140456
ENSG00000233336.1	1	13146777	13146777
ENSG00000229978.1	1	13165443	13165443
ENSG00000236179.1	1	13173157	13173157
ENSG00000179412.8	1	13184326	13184326
ENSG00000224199.1	1	13196270	13196270
ENSG00000229571.2	1	13219581	13219581
ENSG00000204503.5	1	13331692	13331692
ENSG00000233394.1	1	13351482	13351482
ENSG00000204502.2	1	13359819	13359819
ENSG00000231219.1	1	13381237	13381237
ENSG00000207511.1	1	13384841	13384841
ENSG00000182330.6	1	13390765	13390765
ENSG00000237700.1	1	13411551	13411551
ENSG00000204501.2	1	13421176	13421176
ENSG00000228229.2	1	13429634	13429634
ENSG00000204495.3	1	13452656	13452656
ENSG00000204491.2	1	13477522	13477522
ENSG00000204488.3	1	13495254	13495254
ENSG00000204486.3	1	13516066	13516066
ENSG00000204485.2	1	13611550	13611550
ENSG00000224581.1	1	13632348	13632348
ENSG00000157358.7	1	13641973	13641973
ENSG00000204481.6	1	13673511	13673511
ENSG00000204480.6	1	13698405	13698405
ENSG00000204479.4	1	13716092	13716092
ENSG00000204478.5	1	13736907	13736907
ENSG00000259961.1	1	13839715	13839715
ENSG00000162494.5	1	13840543	13840543
ENSG00000215909.3	1	13881496	13881496
ENSG00000162493.12	1	13909960	13909960
ENSG00000222952.1	1	13949779	13949779
ENSG00000266358.1	1	13950497	13950497
ENSG00000237445.2	1	13986405	13986405
ENSG00000253085.1	1	14022694	14022694
ENSG00000116731.18	1	14026693	14026693
ENSG00000252151.1	1	14450830	14450830
ENSG00000231606.1	1	14549613	14549613
ENSG00000234593.1	1	14677518	14677518
ENSG00000189337.11	1	14925200	14925200
ENSG00000235829.1	1	15019109	15019109
ENSG00000175147.7	1	15478960	15478960
ENSG00000171729.9	1	15479028	15479028
ENSG00000204464.3	1	15497813	15497813
ENSG00000215720.4	1	15519341	15519341
ENSG00000142621.15	1	15573768	15573768
ENSG00000236045.1	1	15661960	15661960
ENSG00000233485.1	1	15670372	15670372
ENSG00000228140.1	1	15735929	15735929
ENSG00000142634.8	1	15736391	15736391
ENSG00000162438.7	1	15764935	15764935
ENSG00000142615.7	1	15783223	15783223
ENSG00000215704.5	1	15802596	15802596
ENSG00000132906.13	1	15853029	15853029
ENSG00000116138.8	1	15853308	15853308
ENSG00000251866.1	1	15868660	15868660
ENSG00000272510.1	1	15892451	15892451
ENSG00000116771.5	1	15911605	15911605
ENSG00000237301.1	1	15930121	15930121
ENSG00000235084.2	1	15931077	15931077
ENSG00000252417.1	1	15934640	15934640
ENSG00000236500.1	1	15941362	15941362
ENSG00000197312.7	1	15943995	15943995
ENSG00000271742.1	1	16009623	16009623
ENSG00000116786.7	1	16010827	16010827
ENSG00000264048.1	1	16010967	16010967
ENSG00000162461.7	1	16062900	16062900
ENSG00000237938.1	1	16063391	16063391
ENSG00000162460.6	1	16068917	16068917
ENSG00000224459.1	1	16076391	16076391
ENSG00000162458.8	1	16083102	16083102
ENSG00000224321.1	1	16119291	16119291
ENSG00000233954.4	1	16134194	16134194
ENSG00000178715.7	1	16154724	16154724
ENSG00000065526.6	1	16174359	16174359
ENSG00000179743.2	1	16174642	16174642
ENSG00000238818.1	1	16237392	16237392
ENSG00000270620.1	1	16244403	16244403
ENSG00000234607.2	1	16296127	16296127
ENSG00000116809.7	1	16302627	16302627
ENSG00000231353.1	1	16314677	16314677
ENSG00000224966.4	1	16316366	16316366
ENSG00000183888.4	1	16330731	16330731
ENSG00000233078.1	1	16333166	16333166
ENSG00000186510.7	1	16345370	16345370
ENSG00000173641.13	1	16346089	16346089
ENSG00000232456.1	1	16366524	16366524
ENSG00000184908.13	1	16370272	16370272
ENSG00000185519.8	1	16400127	16400127
ENSG00000227959.1	1	16481706	16481706
ENSG00000142627.9	1	16482582	16482582
ENSG00000224621.1	1	16485761	16485761
ENSG00000234166.1	1	16524349	16524349
ENSG00000142632.12	1	16539104	16539104
ENSG00000237276.4	1	16554522	16554522
ENSG00000204377.3	1	16556038	16556038
ENSG00000132881.7	1	16563657	16563657
ENSG00000233929.1	1	16567893	16567893
ENSG00000037637.6	1	16678949	16678949
ENSG00000055070.12	1	16679070	16679070
ENSG00000226457.1	1	16696025	16696025
ENSG00000187144.7	1	16763919	16763919
ENSG00000157191.15	1	16767167	16767167
ENSG00000226029.1	1	16787443	16787443
ENSG00000080947.10	1	16825752	16825752
ENSG00000206652.1	1	16840780	16840780
ENSG00000261135.1	1	16841140	16841140
ENSG00000224174.2	1	16847189	16847189
ENSG00000233421.3	1	16862144	16862144
ENSG00000268674.1	1	16865561	16865561
ENSG00000266584.1	1	16875409	16875409
ENSG00000225710.1	1	16879026	16879026
ENSG00000219481.6	1	16940057	16940057
ENSG00000271732.1	1	16943886	16943886
ENSG00000215908.5	1	16961054	16961054
ENSG00000186301.7	1	16972069	16972069
ENSG00000207513.1	1	16993443	16993443
ENSG00000237847.2	1	16999498	16999498
ENSG00000264742.1	1	17007750	17007750
ENSG00000236698.1	1	17012550	17012550
ENSG00000268869.1	1	17046652	17046652
ENSG00000268991.1	1	17060956	17060956
ENSG00000058453.12	1	17066768	17066768
ENSG00000207389.1	1	17067011	17067011
ENSG00000227684.1	1	17076728	17076728
ENSG00000186715.6	1	17096732	17096732
ENSG00000223643.2	1	17179624	17179624
ENSG00000230239.1	1	17181902	17181902
ENSG00000263811.1	1	17185516	17185516
ENSG00000228549.2	1	17197440	17197440
ENSG00000235241.1	1	17215590	17215590
ENSG00000238142.1	1	17216144	17216144
ENSG00000207005.1	1	17222475	17222475
ENSG00000272426.1	1	17231271	17231271
ENSG00000226526.1	1	17305421	17305421
ENSG00000117122.9	1	17307330	17307330
ENSG00000159363.13	1	17338423	17338423
ENSG00000117118.5	1	17380665	17380665
ENSG00000117115.8	1	17445948	17445948
ENSG00000252180.1	1	17484692	17484692
ENSG00000204362.5	1	17516278	17516278
ENSG00000142623.8	1	17531621	17531621
ENSG00000142619.4	1	17575593	17575593
ENSG00000266634.1	1	17604384	17604384
ENSG00000159339.9	1	17634690	17634690
ENSG00000269468.1	1	17676070	17676070
ENSG00000256049.2	1	17698691	17698691
ENSG00000227751.1	1	17733256	17733256
ENSG00000266727.1	1	17740190	17740190
ENSG00000179051.9	1	17766220	17766220
ENSG00000239020.1	1	17776259	17776259
ENSG00000074964.12	1	17866330	17866330
ENSG00000236648.1	1	18044182	18044182
ENSG00000117148.6	1	18081808	18081808
ENSG00000261781.1	1	18392151	18392151
ENSG00000117154.7	1	18434240	18434240
ENSG00000230035.2	1	18505840	18505840
ENSG00000225387.1	1	18712323	18712323
ENSG00000179023.7	1	18807424	18807424
ENSG00000235282.2	1	18839612	18839612
ENSG00000225478.2	1	18921908	18921908
ENSG00000009709.7	1	18957500	18957500
ENSG00000179002.5	1	19168346	19168346
ENSG00000265606.1	1	19209769	19209769
ENSG00000255275.3	1	19211892	19211892
ENSG00000221662.1	1	19223642	19223642
ENSG00000159423.12	1	19229275	19229275
ENSG00000169991.6	1	19283180	19283180
ENSG00000272084.1	1	19402005	19402005
ENSG00000266098.1	1	19410145	19410145
ENSG00000127481.10	1	19536770	19536770
ENSG00000230424.1	1	19536995	19536995
ENSG00000127463.9	1	19571524	19571524
ENSG00000053372.4	1	19581276	19581276
ENSG00000211454.9	1	19600688	19600688
ENSG00000162482.4	1	19615744	19615744
ENSG00000270728.1	1	19623574	19623574
ENSG00000200403.1	1	19631676	19631676
ENSG00000053371.8	1	19638640	19638640
ENSG00000040487.8	1	19638820	19638820
ENSG00000265192.1	1	19646554	19646554
ENSG00000240490.2	1	19750878	19750878
ENSG00000077549.13	1	19812066	19812066
ENSG00000201609.1	1	19837087	19837087
ENSG00000239027.1	1	19858768	19858768
ENSG00000235185.1	1	19923326	19923326
ENSG00000173436.9	1	19924328	19924328
ENSG00000226396.1	1	19934608	19934608
ENSG00000270136.1	1	19960931	19960931
ENSG00000158747.9	1	19969726	19969726
ENSG00000158748.3	1	19991780	19991780
ENSG00000162542.9	1	20126438	20126438
ENSG00000235434.1	1	20140860	20140860
ENSG00000178828.5	1	20141771	20141771
ENSG00000169914.5	1	20209006	20209006
ENSG00000188784.4	1	20250110	20250110
ENSG00000242688.2	1	20297462	20297462
ENSG00000188257.6	1	20306932	20306932
ENSG00000127472.6	1	20354672	20354672
ENSG00000117215.10	1	20446050	20446050
ENSG00000158786.4	1	20465819	20465819
ENSG00000227066.1	1	20480831	20480831
ENSG00000187980.6	1	20503917	20503917
ENSG00000162543.5	1	20512578	20512578
ENSG00000225986.1	1	20512979	20512979
ENSG00000228105.1	1	20569588	20569588
ENSG00000158816.11	1	20617412	20617412
ENSG00000226664.1	1	20649680	20649680
ENSG00000226487.1	1	20739746	20739746
ENSG00000236963.1	1	20757727	20757727
ENSG00000162545.5	1	20812713	20812713
ENSG00000090432.5	1	20834654	20834654
ENSG00000215520.3	1	20852482	20852482
ENSG00000183114.6	1	20878932	20878932
ENSG00000158825.5	1	20915441	20915441
ENSG00000158828.5	1	20959948	20959948
ENSG00000244038.5	1	20988000	20988000
ENSG00000235432.1	1	21020506	21020506
ENSG00000117245.8	1	21044510	21044510
ENSG00000189410.7	1	21059330	21059330
ENSG00000233069.1	1	21059373	21059373
ENSG00000203394.2	1	21069480	21069480
ENSG00000127483.13	1	21113816	21113816
ENSG00000251914.1	1	21167734	21167734
ENSG00000221808.1	1	21314925	21314925
ENSG00000233072.1	1	21330427	21330427
ENSG00000236073.2	1	21400246	21400246
ENSG00000235112.1	1	21487968	21487968
ENSG00000266867.1	1	21503122	21503122
ENSG00000075151.15	1	21503377	21503377
ENSG00000236936.1	1	21592575	21592575
ENSG00000231105.1	1	21619783	21619783
ENSG00000117298.10	1	21671997	21671997
ENSG00000236216.4	1	21724480	21724480
ENSG00000228823.1	1	21739786	21739786
ENSG00000236009.1	1	21742391	21742391
ENSG00000227001.2	1	21754460	21754460
ENSG00000187952.8	1	21754796	21754796
ENSG00000186543.7	1	21760811	21760811
ENSG00000142794.14	1	21766621	21766621
ENSG00000176378.8	1	21786575	21786575
ENSG00000162551.9	1	21835858	21835858
ENSG00000233431.1	1	21912965	21912965
ENSG00000221781.1	1	21919041	21919041
ENSG00000076864.15	1	21995801	21995801
ENSG00000231978.2	1	22094762	22094762
ENSG00000090686.11	1	22110099	22110099
